{id=147841, type=policy.create, timestamp=1523471258535, data={policyLocator=47e1d07b-12aa-48b0-a4f7-dcbd0d5af5ca}}
{id=147868, type=policy.update, timestamp=1523476418561, data={policyLocator=abae9dee-2f39-4a1c-9628-e52bf462aeec}}
{id=147869, type=policy.update, timestamp=1523476475776, data={policyLocator=abae9dee-2f39-4a1c-9628-e52bf462aeec}}
{id=147870, type=policy.update, timestamp=1523476481837, data={policyLocator=abae9dee-2f39-4a1c-9628-e52bf462aeec}}
{id=147871, type=policy.update, timestamp=1523476631986, data={policyLocator=abae9dee-2f39-4a1c-9628-e52bf462aeec}}
{id=147872, type=policy.update, timestamp=1523476641649, data={policyLocator=abae9dee-2f39-4a1c-9628-e52bf462aeec}}
{id=147873, type=policy.update, timestamp=1523476652095, data={policyLocator=abae9dee-2f39-4a1c-9628-e52bf462aeec}}
{id=147880, type=policy.update, timestamp=1523476752147, data={policyLocator=abae9dee-2f39-4a1c-9628-e52bf462aeec}}
{id=147881, type=policy.update, timestamp=1523476795452, data={policyLocator=abae9dee-2f39-4a1c-9628-e52bf462aeec}}
{id=147882, type=policy.update, timestamp=1523476865482, data={policyLocator=abae9dee-2f39-4a1c-9628-e52bf462aeec}}
{id=147883, type=policy.update, timestamp=1523476882925, data={policyLocator=abae9dee-2f39-4a1c-9628-e52bf462aeec}}
{id=147885, type=policy.update, timestamp=1523476911879, data={policyLocator=abae9dee-2f39-4a1c-9628-e52bf462aeec}}
{id=147890, type=policy.update, timestamp=1523476967319, data={policyLocator=abae9dee-2f39-4a1c-9628-e52bf462aeec}}
{id=147891, type=policy.update, timestamp=1523477116204, data={policyLocator=abae9dee-2f39-4a1c-9628-e52bf462aeec}}
{id=147892, type=policy.update, timestamp=1523477119806, data={policyLocator=abae9dee-2f39-4a1c-9628-e52bf462aeec}}
{id=147893, type=policy.update, timestamp=1523477172624, data={policyLocator=abae9dee-2f39-4a1c-9628-e52bf462aeec}}
{id=147894, type=policy.update, timestamp=1523477194577, data={policyLocator=abae9dee-2f39-4a1c-9628-e52bf462aeec}}
{id=147895, type=policy.update, timestamp=1523477201333, data={policyLocator=abae9dee-2f39-4a1c-9628-e52bf462aeec}}
{id=147896, type=policy.update, timestamp=1523477206836, data={policyLocator=abae9dee-2f39-4a1c-9628-e52bf462aeec}}
{id=147901, type=policy.create, timestamp=1523477565711, data={policyLocator=fe3ce7f7-e007-4d02-8c1c-d619ea0938c9}}
{id=147902, type=policy.update, timestamp=1523477588149, data={policyLocator=fe3ce7f7-e007-4d02-8c1c-d619ea0938c9}}
{id=147903, type=policy.update, timestamp=1523477607909, data={policyLocator=fe3ce7f7-e007-4d02-8c1c-d619ea0938c9}}
{id=147904, type=policy.update, timestamp=1523477611411, data={policyLocator=fe3ce7f7-e007-4d02-8c1c-d619ea0938c9}}
{id=147905, type=policy.update, timestamp=1523477612433, data={policyLocator=fe3ce7f7-e007-4d02-8c1c-d619ea0938c9}}
{id=147906, type=policy.update, timestamp=1523477617050, data={policyLocator=fe3ce7f7-e007-4d02-8c1c-d619ea0938c9}}
{id=147909, type=policy.update, timestamp=1523477781976, data={policyLocator=fe3ce7f7-e007-4d02-8c1c-d619ea0938c9}}
{id=147910, type=policy.update, timestamp=1523477789319, data={policyLocator=fe3ce7f7-e007-4d02-8c1c-d619ea0938c9}}
{id=147911, type=policy.update, timestamp=1523477812995, data={policyLocator=fe3ce7f7-e007-4d02-8c1c-d619ea0938c9}}
{id=147912, type=policy.update, timestamp=1523477818389, data={policyLocator=fe3ce7f7-e007-4d02-8c1c-d619ea0938c9}}
{id=147913, type=policy.update, timestamp=1523477820653, data={policyLocator=fe3ce7f7-e007-4d02-8c1c-d619ea0938c9}}
{id=147914, type=policy.update, timestamp=1523477824590, data={policyLocator=fe3ce7f7-e007-4d02-8c1c-d619ea0938c9}}
{id=147915, type=policy.update, timestamp=1523477833916, data={policyLocator=fe3ce7f7-e007-4d02-8c1c-d619ea0938c9}}
{id=147929, type=policy.create, timestamp=1523478183700, data={policyLocator=7be77024-6291-4e05-a05b-ab626fd0812c}}
{id=147932, type=policy.create, timestamp=1523478300283, data={policyLocator=9231165e-e6b8-42ff-b32b-1866e4ee6b6b}}
{id=147946, type=policy.create, timestamp=1523480652172, data={policyLocator=ff2c0fc0-2c2e-43bf-84e9-7620d42a7940}}
{id=148054, type=policy.create, timestamp=1523503900248, data={policyLocator=8c8d68e5-c3b0-451f-a3e7-14826a4bf090}}
